ID,serial number,class,function,function first,function end,code,number,Taisho,koreana,folio code,author,Indian translator,Tibetan translator,calibration,Chinese translation,Sanskrit title,Title romanisation,Tibetan title,Dazheng holding,Barry holding,Nanjo,Other,PDF,WEB_PDF,WEB_HTML,Remarks
753,1159,十萬怛特羅部,通帙第96Wa,96,96,753,753,,,4b4-5a7,,,,,金剛細無礙陀羅尼,Vajrasūkṣmāpratihata-nāma-dhāraṇī,Rdo-rje phra-mo thogs-pa med-pa shes-bya-baḥi gzuṅs,རྡོ་རྗེ་ཕྲ་མོ་ཐོགས་པ་མེད་པ་ཞེས་བྱ་བའི་གཟུངས,1416,,1001,,,,,
754,1160,十萬怛特羅部,通帙第96Wa,96,96,754,754,,,5a7-6a5,,Jinamitra、Dānaśīla,Ye-śes sde,,聖十金剛手時髓,Ārya-daśavajrapāṇihṛdaya,Ḥphags-pa lag-na-rdo-rje bcuḥi sñiṅ-po,འཕགས་པ་ལག་ན་རྡོ་རྗེ་བཅུའི་སྙིང་པོ,,,,,,,,
755,1161,十萬怛特羅部,通帙第96Wa,96,96,755,755,,,6a6-7b4,,Jinamitra、Dānaśīla,Ye-śes sde,,聖甘露軍荼利第四心陀羅尼,Ārya-kuṇḍalyamṛtahṛdayacaturtha-nāma-dhāraṇī,Ḥphags-pa bdud-rtsi thab-sbyor-gyi sñiṅ-po bshi-pa shes-bya-baḥi gzuṅs,འཕགས་པ་བདུད་རྩི་ཐབ་སྦྱོར་གྱི་སྙིང་པོ་བཞི་པ་ཞེས་བྱ་བའི་གཟུངས,,,,,,,,
756,1162,十萬怛特羅部,通帙第96Wa,96,96,756,756,,,7b4-8a7,,,,,忿怒王占察星辰讚嘆真言,Krodhabhurkumkūṭarāja-stotramantra,Khro-boḥi rgyal-po sme-brtsegs-la bstod-paḥi sṅags,ཁྲོ་བོའི་རྒྱལ་པོ་སྨེ་བརྩེགས་ལ་བསྟོད་པའི་སྔགས,,,,,,,,
757,1163,十萬怛特羅部,通帙第96Wa,96,96,757,757,,,8a7-19a5,,Śīlendrabodhi、Jinamitra,Ye-śes sde,,聖大力大乘經,Ārya-mahābala-nāma-mahāyānasūtra,Ḥphags-pa stobs-po-che shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་སྟོབས་པོ་ཆེ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,1243,,1019,,,,,
758,1164,十萬怛特羅部,通帙第96Wa,96,96,758,758,,,19a5-27b4,,Atuladāsavajra,Mar-pa chos-dbaṅ-phyug grags-pa,,聖母金剛[金*足]怛特羅之怛特羅儀軌,Ārya-vajraśṛṅkhalātantrakalpa,Ḥphags-ma rdo-rje lu-gu rgyud-maḥi rgyud-kyi rtog-pa,འཕགས་མ་རྡོ་རྗེ་ལུ་གུ་རྒྱུད་མའི་རྒྱུད་ཀྱི་རྟོག་པ,,,,,,,,
759,1165,十萬怛特羅部,通帙第96Wa,96,96,759,759,,,27b4-50a3,,,,,金剛嘴龍三摩耶,Vajratuṇḍa-nāma-nāgasamaya,Rdo-rje-mchu shes-bya-ba kluḥi dam tshig-go,རྡོ་རྗེ་མཆུ་ཞེས་བྱ་བ་ཀླུའི་དམ་ཚིག་གོ,,,,,,,,
760,1166,十萬怛特羅部,通帙第96Wa,96,96,760,760,,,50a4-52a1,,,,,金剛雷嘴陀羅尼,Vajralohatuṇḍa-nāma-dhāraṇī,Rdo-rje gnam-lcags-mchu shes-bya-baḥi gzuṅs,རྡོ་རྗེ་གནམ་ལྕགས་མཆུ་ཞེས་བྱ་བའི་གཟུངས,,,,,,,,
761,1167,十萬怛特羅部,通帙第96Wa,96,96,761,761,,,52a2-53a6,,,,,聖鐵嘴陀羅尼,Ārya-lohatuṇḍa-nāma-dhāraṇī,Ḥphags-pa lcags-mchu shes-bya-baḥi gzuṅs,འཕགས་པ་ལྕགས་མཆུ་ཞེས་བྱ་བའི་གཟུངས,,,,,,,,
762,1168,十萬怛特羅部,通帙第96Wa,96,96,762,762,,,53a6-54a3,,,,,聖鐵嘴陀羅尼,Ārya-lohatuṇḍa-nāma-dhāraṇī,Ḥphags-pa lcags-kyi-mchu shes-bya-baḥi gzuṅs,འཕགས་པ་ལྕགས་ཀྱི་མཆུ་ཞེས་བྱ་བའི་གཟུངས,,,,,,,,
763,1169,十萬怛特羅部,通帙第96Wa,96,96,763,763,,,54a3-55b7,,,,,聖黑鐵嘴,Ārya-kṛṣṇāya-oṣṭha,Ḥphags-pa lcags-mchu nag-po,འཕགས་པ་ལྕགས་མཆུ་ནག་པོ,,,,,,,,
764,1170,十萬怛特羅部,通帙第96Wa,96,96,764,764,,,56a1-56b2,,Vidyākarasiṁha,Kluḥi dbaṅ-po,,聖寶賢陀羅尼,Ārya-maṇibhadra-nāma-dhāraṇī,Ḥphags-pa nor-bu bzaṅ-poḥi gzuṅs shes-bya-ba,འཕགས་པ་ནོར་བུ་བཟང་པོའི་གཟུངས་ཞེས་བྱ་བ,1285,,908,,,,,
765,1171,十萬怛特羅部,通帙第96Wa,96,96,765,765,,,56b2-69a6,,Mañjuśrī,Ba-ri,,夜叉寶賢儀軌,Maṇibhadrayakṣasena-kalpa,Gnod sbyin nor-bu bzaṅ-poḥi rtog-pa,གནོད་སྦྱིན་ནོར་བུ་བཟང་པོའི་རྟོག་པ,,,,,,,,
766,1172,十萬怛特羅部,通帙第96Wa,96,96,766,766,,,69a7-81b7,,Dhānagupta (K),Rob-shi lo-tsā-ba,,夜叉大將最上舞者儀軌,Mahāyakṣasenāpatinartakapara-kalpa,Gnod-sbyin-gyi sde-dpon chen-po gar-mkhan mchog-gi brtag-pa,གནོད་སྦྱིན་གྱི་སྡེ་དཔོན་ཆེན་པོ་གར་མཁན་མཆོག་གི་བརྟག་པ,,,,,,,,
767,1173,十萬怛特羅部,通帙第96Wa,96,96,767,767,,,81b7-88b7,,Dānagupta (K),Rab-shi lo-tsā-ba,,夜叉最上舞者怛特羅,,Gnod-sbyin gar-mkhan mchog-gi rgyud,གནོད་སྦྱིན་གར་མཁན་མཆོག་གི་རྒྱུད,,,,,,,,
768,1174,十萬怛特羅部,通帙第96Wa,96,96,768,768,,,89a1-89b6,,,,,聖閻婆羅吉祥陀羅尼,Ārya-jambhalaśrī-nāma-dhāraṇī,Ḥphags-pa gnod-ḥdsin dpal shes-bya-baḥi gzuṅs,འཕགས་པ་གནོད་འཛིན་དཔལ་ཞེས་བྱ་བའི་གཟུངས,,,,,,,,
769,1175,十萬怛特羅部,通帙第96Wa,96,96,769,769,,,89b7-90a6,,,,,聖閻婆羅水帝悲尊陀羅尼作樂,Kāruṇikāryajambhalajalendrasuśaṅkara-nāma-dhāraṇī,Ḥphags-pa gnod-ḥdsin chu-dbaṅ sñiṅ-rje-can-gyi gzuṅs bde-byed ces-bya-ba,འཕགས་པ་གནོད་འཛིན་ཆུ་དབང་སྙིང་རྗེ་ཅན་གྱི་གཟུངས་བདེ་བྱེད་ཅེས་བྱ་བ,1285,,908,,,,,
770,1176,十萬怛特羅部,通帙第96Wa,96,96,770,770,1283,1153,90a6-104a3,,Sgeg-pa rdo-rje,Rdo-rje grags,,聖閻婆羅帝如實出生儀軌,Ārya-jambhalajalendrayathālabdha-kalpa-nāma,Ḥphags-pa gnod-gnas dbaṅ-po ci-ltar ḥbyuṅ-baḥi rtog-pa shes-bya-ba,འཕགས་པ་གནོད་གནས་དབང་པོ་ཅི་ལྟར་འབྱུང་བའི་རྟོག་པ་ཞེས་བྱ་བ,1283,,1046,,,,,
771,1177,十萬怛特羅部,通帙第96Wa,96,96,771,771,,,104a3-105b7,,,,,聖閻婆羅一百八名,Ārya-jambhalanāmāṣṭaśataka,Ḥphags-pa gnod-ḥdsin-gyi mtshan brgya rtsa-brgyad-pa shes-bya-ba,འཕགས་པ་གནོད་འཛིན་གྱི་མཚན་བརྒྱ་རྩ་བརྒྱད་པ་ཞེས་བྱ་བ,,,,,,,,
772,1178,十萬怛特羅部,通帙第96Wa,96,96,772,772,,,105b7-111b7,,Prajñāvarma,Ye-śes sde,,聖金帶陀羅尼,Ārya-mekhalā-nāma-dhāraṇī,Ḥphags-pa me-kha-la shes-bya-baḥi gzuṅs,འཕགས་པ་མེ་ཁ་ལ་ཞེས་བྱ་བའི་གཟུངས,1377,,940,,,,,
773,1179,十萬怛特羅部,通帙第96Wa,96,96,773,773,,,112a1-112b4,,,,,聖明咒王大息,,Ḥphags-pa rig-sṅags-kyi rgyal-po dbugs chen-po shes-bya-ba,འཕགས་པ་རིག་སྔགས་ཀྱི་རྒྱལ་པོ་དབུགས་ཆེན་པོ་ཞེས་བ་བ,,,,,,,,
774,1180,十萬怛特羅部,通帙第96Wa,96,96,774,774,,,112b4-112b5,,,,,摩尼琢磨陀羅尼,,Rin-po-che bdar-baḥi gzuṅs,རིན་པོ་ཆེ་བདར་བའི་གཟུངས,,,,,,,,
775,1181,十萬怛特羅部,通帙第96Wa,96,96,775,775,,,112b5-112b7,,,,,右繞陀羅尼,,Bskor-baḥi gzuṅs,བསྐོར་བའི་གཟུངས,,,,,,,,
776,1182,十萬怛特羅部,通帙第96Wa,96,96,776,776,,,112b7-113a3,,,,,聖三寶塔右繞陀羅尼,Ārya-pradakṣiṇaratnatraya-nāma-dhāraṇī,Ḥphags-pa dkon-mchog-gi rten-la bskor-ba bya-baḥi gzuṅs shes-bya-ba,འཕགས་པ་དཀོན་མཆོག་གི་རྟེན་ལ་བསྐོར་བ་བྱ་བའི་གཟུངས་ཞེས་བྱ་བ,,,,,,,,
777,1183,十萬怛特羅部,通帙第96Wa,96,96,777,777,,,113a3-113b1,,,,,施物清淨,Dakṣiṇāpariśodhanī-nāma,Yon yoṅs-su sbyoṅ-ba shes-bya-ba,ཡོན་ཡོངས་སུ་སྦྱོང་བ་ཞེས་བྱ་བ,,,,,,,,
778,1184,十萬怛特羅部,通帙第96Wa,96,96,778,778,,,113b1-113b3,,,,,施物清淨,Dakṣiṇāpariśodhanī-nāma,Yon yoṅs-su sbyoṅ-ba shes-bya-ba,ཡོན་ཡོངས་སུ་སྦྱོང་བ་ཞེས་བྱ་བ,,,,,,,,
779,1185,十萬怛特羅部,通帙第96Wa,96,96,779,779,,,113b3-113b5,,,,,禮拜陀羅尼,,Phyag-bya-baḥi gzuṅs,ཕྱག་བྱ་བའི་གཟུངས,,,,,,,,
780,1186,十萬怛特羅部,通帙第96Wa,96,96,780,780,,,113b5-113b7,,,,,百衣受得陀羅尼,,Gos brgya thob-paḥi gzuṅs,གོས་བརྒྱ་ཐོབ་པའི་གཟུངས,,,,,,,,
781,1187,十萬怛特羅部,通帙第96Wa,96,96,781,781,,,114a1-114a1,,,,,不令悅陀羅尼,,Mi dgaḥ-bar-byed-paḥi gzuṅs,མི་དགའ་བར་བྱེད་པའི་གཟུངས,,,,,,,,
782,1188,十萬怛特羅部,通帙第96Wa,96,96,782,782,,,114a2-114a5,,,,,一切惡趣清淨陀羅尼,,Ṅan-soṅ thams-cad yoṅs-su sbyon-ba shes-bya-baḥi gzuṅs,ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོན་བ་ཞེས་བྱ་བའི་གཟུངས,,,,,,,,
783,1189,十萬怛特羅部,通帙第96Wa,96,96,783,783,,,114a5-114a6,,,,,瘤飲對治陀羅尼,,Skran shi-baḥi gzuṅs,སྐྲན་ཞི་བའི་གཟུངས,,,,,,,,
784,1190,十萬怛特羅部,通帙第96Wa,96,96,784,784,,,114a7-114b1,,,,,難病治癒陀羅尼,,Ma shu-baḥi nad ḥbyaṅ-baḥi gzuṅs,མ་ཞུ་བའི་ནད་འབྱང་བའི་གཟུངས,,,,,,,,
785,1191,十萬怛特羅部,通帙第96Wa,96,96,785,785,,,114b1-114b3,,,,,聖一切瞋恚消滅陀羅尼,,Ḥphags-pa sdaṅ-ba thams-cad rab-tu shi-bar-byed-baḥi gzuṅs,འཕགས་པ་སྡང་བ་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་བའི་གཟུངས,,,,,,,,
786,1192,十萬怛特羅部,通帙第96Wa,96,96,786,786,,,114b3-114b5,,,,,一切罪業消滅陀羅尼,,Sdig-pa thams-cad rab-tu shi-bar-byed-pa shes-bya-baḥi gzuṅs,སྡིག་པ་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་པ་ཞེས་བྱ་བའི་གཟུངས,,,,,,,,
787,1193,十萬怛特羅部,通帙第96Wa,96,96,787,787,,,114b5-114b7,,,,,忿怒消滅陀羅尼,,Khro-ba shi-bar-byed-paḥi gzuṅs,ཁྲོ་བ་ཞི་བར་བྱེད་པའི་གཟུངས,,,,,,,,
788,1194,十萬怛特羅部,通帙第96Wa,96,96,788,788,,,114b7-115a1,,,,,聖鬪爭消滅陀羅尼,,Ḥphags-pa khros-pa shi-bar-byed-paḥi gzuṅs,འཕགས་པ་ཁྲོས་པ་ཞི་བར་བྱེད་པའི་གཟུངས,,,,,,,,
789,1195,十萬怛特羅部,通帙第96Wa,96,96,789,789,,,115a1-115a4,,,,,慎語陀羅尼,,Tshig btsan-paḥi gzuṅs,ཚིག་བཙན་པའི་གཟུངས,,,,,,,,
790,1196,十萬怛特羅部,通帙第96Wa,96,96,790,790,,,115a4-115a5,,,,,己身守護陀羅尼,,Bdag bsruṅ-baḥi gzuṅs,བདག་བསྲུང་བའི་གཟུངས,,,,,,,,
791,1197,十萬怛特羅部,通帙第96Wa,96,96,791,791,,,115a5-115a7,,,,,聖悅豫,,Ḥphags-pa yid-du-ḥoṅ-ba shes-bya-ba,འཕགས་པ་ཡིད་དུ་འོང་བ་ཞེས་བྱ་བ,,,,,,,,
792,1198,十萬怛特羅部,通帙第96Wa,96,96,792,792,,,115b1-115b2,,,,,美音陀羅尼,,Mgrin-pa sñan-paḥi gzuṅs,མགྲིན་པ་སྙན་པའི་གཟུངས,,,,,,,,
793,1199,十萬怛特羅部,通帙第96Wa,96,96,793,793,,,115b3-115b5,,,,,一切義成就陀羅尼,,Don thams-cad ḥgrub-paḥi gzuṅs,དོན་ཐམས་ཅད་འགྲུབ་པའི་གཟུངས,,,,,,,,
794,1200,十萬怛特羅部,通帙第96Wa,96,96,794,794,,,115b5-116a2,,,,,業成就陀羅尼,,Las grub-paḥi gzuṅs,ལས་གྲུབ་པའི་གཟུངས,,,,,,,,
795,1201,十萬怛特羅部,通帙第96Wa,96,96,795,795,,,116a2-116a4,,,,,毒害消滅,,Dug shi-ba-byed-pa shes-bya-ba,དུག་ཞི་བ་བྱེད་པ་ཞེས་བྱ་བ,,,,,,,,
796,1202,十萬怛特羅部,通帙第96Wa,96,96,796,796,,,116a5-116a6,,,,,縛解脫陀羅尼,,Bciṅs-pa-las grol-baḥi gzuṅs,བཅིངས་པ་ལས་གྲོལ་བའི་གཟུངས,,,,,,,,
797,1203,十萬怛特羅部,通帙第96Wa,96,96,797,797,,,116a6-116b1,,,,,聖一切惡魔令恐怖,,Ḥphags-pa bdud thams-cad skrag-par-byed-pa shes-bya-ba,འཕགས་པ་བདུད་ཐམས་ཅད་སྐྲག་པར་བྱེད་པ་ཞེས་བྱ་བ,,,,,,,,
798,1204,十萬怛特羅部,通帙第96Wa,96,96,798,798,,,116b1-116b3,,,,,傷治癒陀羅尼真言,,Rma ḥbyor-bar-byed-pa shes-bya-baḥi gzuṅs-sṅags,རྨ་འབྱོར་བར་བྱེད་པ་ཞེས་བྱ་བའི་གཟུངས་སྔགས,,,,,,,,
799,1205,十萬怛特羅部,通帙第96Wa,96,96,799,799,,,116b3-116b4,,,,,火傷消滅陀羅尼,,Meḥi zug-rṅu rab-tu shi-bar-byed-paḥi gzuṅs,མེའི་ཟུག་རྔུ་རབ་ཏུ་ཞི་བར་བྱེད་པའི་གཟུངས,,,,,,,,
800,1206,十萬怛特羅部,通帙第96Wa,96,96,800,800,,,116b4-116b5,,,,,膽病除滅真言,,Mkhris-paḥi nad sel-baḥi sṅags,མཁྲིས་པའི་ནད་སེལ་བའི་སྔགས,,,,,,,,
801,1207,十萬怛特羅部,通帙第96Wa,96,96,801,801,,,116b6-116b7,,,,,啖病除滅陀羅尼,,Bad-kan-gyi nad sel-baḥi gzuṅs,བད་ཀན་གྱི་ནད་སེལ་བའི་གཟུངས,,,,,,,,
802,1208,十萬怛特羅部,通帙第96Wa,96,96,802,802,,,116b7-117a1,,,,,膏盲消滅真言,,Kṣa-yaḥi nad sel-baḥi sṅags,ཀྵ་ཡའི་ནད་སེལ་བའི་སྔགས,,,,,,,,
803,1209,十萬怛特羅部,通帙第96Wa,96,96,803,803,,,117a2-117a4,,,,,聖惡疫害蟲不犯陀羅尼,,Ḥphags-pa rims daṅ srog-chags-kyis mi tshugs-pa shes-bya-baḥi gzuṅs,འཕགས་པ་རིམས་དང་སྲོག་ཆགས་ཀྱིས་མི་ཚུགས་པ་ཞེས་བྱ་བའི་གཟུངས,,,,,,,,
804,1210,十萬怛特羅部,通帙第96Wa,96,96,804,804,,,117a4-117a7,,,Ba-ri,,施害漏物陀羅尼,,Lus-kyi zag-pa sbyin-par gtaṅ-baḥi gzuṅs,ལུས་ཀྱི་ཟག་པ་སྦྱིན་པར་གཏང་བའི་གཟུངས,,,,,,,,
805,1211,十萬怛特羅部,通帙第96Wa,96,96,805,805,895,428,118a1-140b7,,,,,聖賢臂所問怛特羅,Ārya-subāhuparīpṛcchā-nāma-tantra,Ḥphags-pa dpuṅ-bzaṅ-gis shus-pa shes-bya-baḥi rgyud,འཕགས་པ་དཔུང་བཟང་གིས་ཞུས་པ་ཞེས་བྱ་བའི་རྒྱུད,"895,896",,"531,822",,,,,
806,1213,十萬怛特羅部,通帙第96Wa,96,96,806,806,,,141a1-167b7,,,,,一切曼荼羅總儀軌秘密怛特羅,Sarvamaṇḍalasāmānyavidhīnām guhyatantra,Dkyil-ḥkhor thams-cad-kyi spyiḥi cho-ga gsaṅ-baḥi rgyud,དཀྱིལ་འཁོར་ཐམས་ཅད་ཀྱི་སྤྱིའི་ཆོ་ག་གསང་བའི་རྒྱུད,897,,,,,,,
807,1214,十萬怛特羅部,通帙第96Wa,96,96,807,807,893,432,168a1-222b7,,,,,善成就大怛特羅中成就法品,Susiddhikaramahātantrasādhanopāyikapaṭala,Legs-par-grub-par-byed-paḥi rgyud chen-po-las sgrub-paḥi thabs rim-par-phye-ba,ལེགས་པར་གྲུབ་པར་བྱེད་པའི་རྒྱུད་ཆེན་པོ་ལས་སྒྲུབ་པའི་ཐབས་རིམ་པར་ཕྱེ་བ,893,,533,,,,,
808,1215,十萬怛特羅部,通帙第96Wa,96,96,808,808,,,223a1-225b7,,,,,上禪定品,Dhyānottarapaṭalakrama,Bsam-gtan-gyi phyi-ma rim-par-phye-ba,བསམ་གཏན་གྱི་ཕྱི་མ་རིམ་པར་ཕྱེ་བ,,,,,,,,
809,1216,十萬怛特羅部,通帙第96Wa,96,96,809,809,,,226a1-229a3,,Dharmākara (K),Dpal-ḥbyor,Vidyākaraprabha、Dpal-brtsegs,聖密意怛特羅大鬘菩薩大決定說示中摩尼寶善巧說示大迴向王,Ārya-sandhimālāmahātantrabodhisattva-mahāviniścayanirdeśān mahāmaṇiratnakauśalyanirdeśamahāpariṇāma-nāma-rāja,Ḥphags-pa dgoṅs-paḥi rgyud-kyi phreṅ-ba chen-po byaṅ-chub sems-dpaḥi rnam-par ṅes-pa chen-po bstan-pa-las nor-bu rin-po-che-la mkhas-pa bstan-pa yoṅs-su-bsṅo-ba chen-poḥi rgyal-po shes-bya-ba,འཕགས་པ་དགོངས་པའི་རྒྱུད་ཀྱི་ཕྲེང་བ་ཆེན་པོ་བྱང་ཆུབ་སེམས་དཔའི་རྣམ་པར་ངེས་པ་ཆེན་པོ་བསྟན་པ་ལས། ནོར་བུ་རིན་པོ་ཆེ་ལ་མཁས་པ་བསྟན་པ་ཡོངས་སུ་བསྔོ་བ་ཆེན་པོའི་རྒྱལ་པོ་ཞེས་བྱ་བ,,,,,,,,
810,1217,十萬怛特羅部,通帙第96Wa,96,96,810,810,,,229a3-250b3,,Vidyākaraprabha,Ye-śes sñiṅ-po、Dpal-brtsegs rakṣita,,聖迴向大王真言,Ārya-mahāpariṇāmarāja samantraka,Ḥphags-pa yoṅs-su-bsṅo-baḥi rgyal-po chen-po sṅags daṅ-bcas-pa,འཕགས་པ་ཡོངས་སུ་བསྔོ་བའི་རྒྱལ་པོ་ཆེན་པོ་སྔགས་དང་བཅས་པ,,,,,,,,
811,1218,十萬怛特羅部,通帙第96Wa,96,96,811,811,,,250b4-251a5,,,,,吉祥善成就大怛特羅中抄出誓願文,,Dpal legs-par grub-par-byed-paḥi rgyud chen-po-las byuṅ-baḥi smon-lam,དཔལ་ལེགས་པར་གྲུབ་པར་བྱེད་པའི་རྒྱུད་ཆེན་པོ་ལས་བྱུང་བའི་སྨོན་ལམ,,,,,,,,
812,1219,十萬怛特羅部,通帙第96Wa,96,96,812,812,,,251a5-253a2,,,,,聖觀自在如意寶珠儀軌中抄出誓願文,,Ḥphags-pa spyan-ras-gzigs-dbaṅ-phyug yid-bshin-gyi-nor-buḥi rtog-pa-las smon-lam ḥbyuṅ-ba,འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཡིད་བཞིན་གྱི་ནོར་བུའི་རྟོག་པ་ལས་སྨོན་ལམ་འབྱུང་བ,,,,,,,,
813,1220,十萬怛特羅部,通帙第96Wa,96,96,813,813,,,253a2-254a6,,,,,大千摧破（經）所說誓願文,,Stoṅ-chen-po rab-tu ḥjoms-pa-las gsuṅs-paḥi smon-lam,སྟོང་ཆེན་པོ་རབ་ཏུ་འཇོམས་པ་ལས་གསུངས་པའི་སྨོན་ལམ,,,,,,,,
814,1221,十萬怛特羅部,通帙第96Wa,96,96,814,814,,,254a6-254b4,,,,,大孔雀明妃所說誓願文吉祥句,,Rig-sṅags-kyi rgyal-mo rma-bya chen-mo-las gsuṅs-baḥi smon-lam daṅ bden-tshig,རིག་སྔགས་ཀྱི་རྒྱལ་མོ་རྨ་བྱ་ཆེན་མོ་ལས་གསུངས་བའི་སྨོན་ལམ་དང་བདེན་ཚིག,,,,,,,,
815,1222,十萬怛特羅部,通帙第96Wa,96,96,815,815,,,254b4-256a6,,,,,布施所傳所出誓願文,,Sbyin-paḥi rabs-las ḥbyuṅ-baḥi smon-lam,སྦྱིན་པའི་རབས་ལས་འབྱུང་བའི་སྨོན་ལམ,,,,,,,,
816,1223,十萬怛特羅部,通帙第96Wa,96,96,816,816,,,256a7-257a5,,,,,聖入毗舍離經中所出善妙偈,,Ḥphags-pa yaṅs-paḥi groṅ-khyer-du ḥjug-paḥi mdo-las ḥbyuṅ-baḥi bde-legs-kyi tshigs-su-bcad-pa,འཕགས་པ་ཡངས་པའི་གྲོང་ཁྱེར་དུ་འཇུག་པའི་མདོ་ལས་འབྱུང་བའི་བདེ་ལེགས་ཀྱི་ཚིགས་སུ་བཅད་པ,,,,,,,,
817,1224,十萬怛特羅部,通帙第96Wa,96,96,817,817,,,257a5-258b7,,,,,妙善樂偈,,Bde-legs-kyi tshigs-su-bcad-pa,བདེ་ལེགས་ཀྱི་ཚིགས་སུ་བཅད་པ,,,,,,,,
818,1225,十萬怛特羅部,通帙第96Wa,96,96,818,818,,,258b7-259b1,,,,,成就善樂偈,,Bde-legs-su ḥgyur-baḥi tshigs-su-bcad-pa,བདེ་ལེགས་སུ་འགྱུར་བའི་ཚིགས་སུ་བཅད་པ,,,,,,,,
819,1226,十萬怛特羅部,通帙第96Wa,96,96,819,819,,,259b1-260a5,,,,,天子請問吉祥偈,Devaparipṛcchāmaṅgalagātha,Lhas shus-paḥi bkra-śis-kyi tshigs-su-bcad-pa,ལྷས་ཞུས་པའི་བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ,,,,,,,,
820,1227,十萬怛特羅部,通帙第96Wa,96,96,820,820,,,260a5-260b7,,,,,吉祥瑜伽怛特羅曼荼羅諸尊如來五尊屬等三十七尊吉祥偈,,Dpal rnal-ḥbyor-gyi rgyud-kyi dkyil-ḥkhor-gyi lha de-bshin-gśegs-pa rigs lṅa ḥkhor daṅ-bcas-pa lha sum-cu-rtsa-bdun-gyi bkra-śis tshigs-su-bcad-pa,དཔལ་རྣལ་འབྱོར་གྱི་རྒྱུད་ཀྱི་དཀྱིལ་འཁོར་གྱི་ལྷ་དེ་བཞིན་གཤེགས་པ་རིགས་ལྔ་འཁོར་དང་བཅས་པ་ལྷ་སུམ་ཅུ་རྩ་བདུན་གྱི་བཀྲ་ཤིས་ཚིགས་སུ་བཅད་པ,,,,,,,,
821,1228,十萬怛特羅部,通帙第96Wa,96,96,821,821,,,261a1-261b1,,,,,七佛吉祥偈,,Saṅs-rgyas rabs bdun-gyi bkra-śis-kyi tshigs-su-bcad-pa,སངས་རྒྱས་རབས་བདུན་གྱི་བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ,,,,,,,,
822,1229,十萬怛特羅部,通帙第96Wa,96,96,822,822,,,261b1-261b7,,,,,五如來吉祥偈,Pañcatathāgatamaṅgalagāthā,De-bshin-gśegs-pa lṅaḥi bkra-śis tshigs-su bcad-pa,དེ་བཞིན་གཤེགས་པ་ལྔའི་བཀྲ་ཤིས་ཚིགས་སུ་བཅད་པ,,,,,,,,
823,1230,十萬怛特羅部,通帙第96Wa,96,96,823,823,,,261b7-262a3,,,,,吉祥三尊吉祥（偈）,,Dpal rigs gsum-gyi bkra-śis,དཔལ་རིགས་གསུམ་གྱི་བཀྲ་ཤིས,,,,,,,,
824,1231,十萬怛特羅部,通帙第96Wa,96,96,824,824,,,262a3-262a7,,,,,三寶吉祥偈,Ratnatrayamaṅgalagāthā,Dkon-mchog gsum-gyi bkra-śis-kyi tshigs-su-bcad-pa,དཀོན་མཆོག་གསུམ་གྱི་བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ,,,,,,,,
825,1232,十萬怛特羅部,通帙第96Wa,96,96,825,825,,,262a7-262b3,,,,,三尊吉祥（偈）,,Rigs gsum-gyi bkra-śis,རིགས་གསུམ་གྱི་བཀྲ་ཤིས,,,,,,,,
826,1233,十萬怛特羅部,通帙第96Wa,96,96,826,826,,,262b3-263b6,,Jinamitra,Ye-śes sde,,吉祥偈,Maṅgalagāthā,Bkra-śis-kyi tshigs-su-bcad-pa,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ,,,,,,,,
827,1234,十萬怛特羅部,通帙第96Wa,96,96,827,827,,,263b7-264a6,,Jinamitra,Ye-śes sde,,三寶吉祥偈,Ratnatrayasvastigāthā,Dkon-mchog gsum-gyi bkra-śis-kyi tshigs-su-bcad-pa,དཀོན་མཆོག་གསུམ་གྱི་བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ,,,,,,,,
828,1235,古怛特羅,通帙第97Ka,97,97,828,828,,,1b1-86a7,,Śrīsiṁhaprabha、Vairocana,,,一切法大圓滿菩提心普作王,Sarvadharmamahāśāntibodhicittakulaya-rāja,Chos thams-cad rdsogs-pa chen-po byaṅ-chub-kyi sems kun byed rgyal-po,ཆོས་ཐམས་ཅད་རྫོགས་པ་ཆེན་པོ་བྱང་ཆུབ་ཀྱི་སེམས་ཀུན་བྱེད་རྒྱལ་པོ,,,,,,,,
