Class,By part,Book,Book end,Number,Number,Identifier,Other book,Page number,Book vol,actual volumes’ number,Name,Deputy by name,Translator,Goryeo,Korean,Remarks,number of notes,Annotated by,Related classic,References
經集部類,經集部一,14,14,456,456,0,,428,1,1,佛說彌勒大成佛經,,姚秦 鳩摩羅什譯,195,11,,,,"縮-黃5,卍-10.5,國-經2",cf.No.1774
經集部類,經集部一,14,14,457,457,0,,434,1,1,佛說彌勒來時經,,失譯,196,11,,,,"縮-黃5,卍-10.5",
經集部類,經集部一,14,14,458,458,0,,435,1,1,文殊師利問菩薩署經,,後漢 支婁迦讖譯,418,13,,,,"縮-宙8,卍-13.4",
經集部類,經集部一,14,14,459,459,0,,441,1,1,佛說文殊悔過經,,西晉 竺法護譯,538,14,,,,"縮-列2,卍-17.2",
經集部類,經集部一,14,14,460,460,0,,448,1,1,佛說文殊師利淨律經,,西晉 竺法護譯,537,14,,,,"縮-列2,卍-17.1,國-經12","Nos.1489,1490"
經集部類,經集部一,14,14,461,461,0,,452,2,2,佛說文殊師利現寶藏經,,西晉 竺法護譯,149,10,,,,"縮-宇10,卍-9.9,國-經12",No.462
經集部類,經集部一,14,14,462,462,0,,466,3,3,大方廣寶篋經,,劉宋 求那跋陀羅譯,150,10,,,,"縮-宇10,卍-9.9",No.461
經集部類,經集部一,14,14,463,463,0,,480,1,1,佛說文殊師利般涅槃經,,西晉 聶道真譯,470,13,,,,"縮-黃5,卍-12.6,國-經15",
經集部類,經集部一,14,14,464,464,0,,481,1,1,文殊師利問菩提經,,姚秦 鳩摩羅什譯,222,11,,,,"縮-宙2,卍-10.6,國-經15",Nos.465-467
經集部類,經集部一,14,14,465,465,0,,483,1,1,伽耶山頂經,,元魏 菩提流支譯,223,11,,,,"縮-宙2,卍-10.6","Nos.464,466,467"
經集部類,經集部一,14,14,466,466,0,,487,1,1,佛說象頭精舍經,,隋 毘尼多流支譯,224,11,,,,"縮-宙2,卍-10.6","Nos.464,465,467"
經集部類,經集部一,14,14,467,467,0,,489,1,1,大乘伽耶山頂經,,唐 菩提流志譯,225,11,,,,"縮-宙2,卍-10.6","Nos.464,466"
經集部類,經集部一,14,14,468,468,0,,492,2,2,文殊師利問經,,梁 僧伽婆羅譯,412,13,,,,"縮-列1,卍-12.2",cf.No.469
經集部類,經集部一,14,14,469,469,0,,509,1,1,文殊問經字母品第十四,,唐 不空譯,1309,36,,,,"縮-閏15,卍-15.9",No.468(14)
經集部類,經集部一,14,14,470,470,0,,510,1,1,佛說文殊師利巡行經,,元魏 菩提流支譯,265,11,,,,"縮-宙2,卍-10.7",No.471
經集部類,經集部一,14,14,471,471,0,,512,1,1,佛說文殊師利行經,,隋 豆那掘多譯,267,11,,,"註:書前目錄為「文殊師利」,內文則為「文殊尸利」.","縮-宙2,卍-10.7,國-經14",No.470
經集部類,經集部一,14,14,472,472,0,,514,1,1,佛說大乘善見變化文殊師利問法經,,宋 天息災譯,1099,33,,,,"縮-宙2,卍-15.2",
經集部類,經集部一,14,14,473,473,0,,516,1,1,佛說妙吉祥菩薩所問大乘法螺經,,宋 法賢譯,1211,34,,,,"縮-宙7,卍-16.1",
經集部類,經集部一,14,14,474,474,0,,519,2,2,佛說維摩詰經,,吳 支謙譯,120,9,,,,"縮-黃7,卍-9.5","Nos.475,476"
經集部類,經集部一,14,14,475,475,0,,537,3,3,維摩詰所說經,,姚秦 鳩摩羅什譯,119,9,,,,"縮-黃7,卍-9.5,國-經6","Nos.474,476,;cf.Nos.1775-1781,2186,2768-2774,2777"
經集部類,經集部一,14,14,476,476,0,,557,6,6,說無垢稱經,,唐 玄奘譯,121,9,,,,"縮-黃7,卍-9.5","Nos.474,476,;cf.No.1782"
經集部類,經集部一,14,14,477,477,0,,588,1,1,佛說大方等頂王經,,西晉 竺法護譯,122,9,,,,"縮-黃8,卍-9.5,國-經2","Nos.478,479"
經集部類,經集部一,14,14,478,478,0,,597,1,1,大乘頂王經,,梁 月婆首那譯,123,9,,,,"縮-黃8,卍-9.5","Nos.477,479"
經集部類,經集部一,14,14,479,479,0,,605,2,2,善思童子經,,隋 闍那崛多譯,124,9,,,,"縮-黃8,卍-10.2","Nos.477,478"
經集部類,經集部一,14,14,480,480,0,,615,2,2,佛說月上女經,,隋 闍那崛多譯,415,13,,,,"縮-黃8,卍-12.2,國-經2",
經集部類,經集部一,14,14,481,481,0,,625,4,4,持人菩薩經,,西晉 竺法護譯,145,10,,,,"縮-宇10,卍-9.8",No.482
經集部類,經集部一,14,14,482,482,0,,642,4,4,持世經,,姚秦 鳩摩羅什譯,146,10,,,,"縮-宇10,卍-9.9,國-經3",No.481
經集部類,經集部一,14,14,483,483,0,,666,1,1,三曼陀跋陀羅菩薩經,,西晉 聶道真譯,544,14,,,,"縮-列2,卍-17.2",
經集部類,經集部一,14,14,484,484,0,,668,1,1,不思議光菩薩所說經,,後秦 鳩摩羅什譯,381,12,,,,"縮-黃10,卍-11.4",
經集部類,經集部一,14,14,485,485,0,,673,4,4,無所有菩薩經,,隋 闍那崛多等譯,409,13,,,,"縮-黃10,卍-12.2,國-經2",
經集部類,經集部一,14,14,486,486,0,,697,1,1,師子莊嚴王菩薩請問經,,唐 那提譯,497,13,,,,"縮-黃5,卍-12.5",
經集部類,經集部一,14,14,487,487,0,,698,1,1,離垢慧菩薩所問禮佛法經,,唐 那提譯,491,13,,,,"縮-黃5,卍-12.6",
經集部類,經集部一,14,14,488,488,0,,700,1,1,寶授菩薩菩提行經,,宋 法賢譯,1227,34,,,,"縮-宙7,卍-15.5",
經集部類,經集部一,14,14,489,489,0,,704,20,20,佛說除蓋障菩薩所問經,,宋 法護等譯,1476,40,,,,"縮-宇7,卍-15.8,國-經13",
經集部類,經集部一,14,14,490,490,0,,751,1,1,佛說八大菩薩經,,宋 法賢譯,1212,34,,,,"縮-黃5,卍-16.1",
經集部類,經集部一,14,14,491,491,0,,752,1,1,六菩薩亦當誦持經,,失譯,1030,30,,,,"縮-黃5,卍-26.6",
經集部類,經集部一,14,14,0492a,492,0,a,753,1,1,佛說阿難問事佛吉凶經,,後漢 安世高譯,761,19,,,,"縮-宿6,卍-14.2",
經集部類,經集部一,14,14,0492b,492,1,b,754,1,1,阿難問事佛吉凶經,,後漢 安世高譯,761,19,,,,,
經集部類,經集部一,14,14,493,493,0,,756,1,1,佛說阿難四事經,,吳 支謙譯,817,20,,,,"縮-宿8,卍-14.10",
經集部類,經集部一,14,14,494,494,0,,758,1,1,阿難七夢經,,東晉 竺曇無蘭譯,836,20,,,,"縮-宿8,卍-15.1",
經集部類,經集部一,14,14,495,495,0,,758,1,1,佛說阿難分別經,,乞伏秦 釋法堅譯,770,19,,,"註:大正二版書前目錄是「佛說分別經」,譯者是【西晉 竺法護譯】,此有誤,今改之.大正一版則無誤.","縮-宿6,卍-14.2",
經集部類,經集部一,14,14,496,496,0,,760,1,1,佛說大迦葉本經,,西晉 竺法護譯,831,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,497,497,0,,761,1,1,佛說摩訶迦葉度貧母經,,劉宋 求那跋陀羅譯,839,20,,,,"縮-宿8,卍-15.1",
經集部類,經集部一,14,14,498,498,0,,763,2,2,佛說初分說經,,宋 施護譯,1448,40,,,,"縮-辰10,卍-15.7",
經集部類,經集部一,14,14,499,499,0,,768,1,1,佛為阿支羅迦葉自化作苦經,,失譯,,,,,,"縮-宿7,卍-14.10",
經集部類,經集部一,14,14,500,500,0,,769,1,1,羅云忍辱經,,西晉 法炬譯,850,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,501,501,0,,770,1,1,佛說沙曷比丘功德經,,西晉 法炬譯,851,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,502,502,0,,771,1,1,佛為年少比丘說正事經,,西晉 法炬譯,849,20,,,,"縮-宿8,卍-15.1",
經集部類,經集部一,14,14,503,503,0,,771,1,1,比丘避女惡名欲自殺經,,西晉 法炬譯,886,20,,,,"縮-宿8,卍-15.1",
經集部類,經集部一,14,14,504,504,0,,772,1,1,比丘聽施經,,東晉 曇無蘭譯,873,20,,,,"縮-宿8,卍-15.1",
經集部類,經集部一,14,14,505,505,0,,773,1,1,佛說隨勇尊者經,,宋 施護等譯,1472,40,,,,"縮-宿7,續1.1.4",
經集部類,經集部一,14,14,506,506,0,,774,1,1,犍陀國王經,,後漢 安世高譯,826,20,,,,"縮-宿7,卍-14.10",
經集部類,經集部一,14,14,507,507,0,,774,1,1,佛說未生冤經,,吳 支謙譯,821,20,,,,"縮-宿7,卍-14.10",
經集部類,經集部一,14,14,508,508,0,,775,1,1,阿闍世王問五逆經,,西晉 法炬譯,791,19,,,,"縮-宿7,卍-14.10",
經集部類,經集部一,14,14,509,509,0,,777,1,1,阿闍世王授決經,,西晉 法炬譯,253,11,,,,"縮-宙7,卍-10.7",No.510
經集部類,經集部一,14,14,510,510,0,,778,1,1,採花違王上佛授決號妙花經,,東晉 竺曇無蘭譯,254,11,,,,縮-宙7,No.509
經集部類,經集部一,14,14,511,511,0,,779,1,1,佛說蓱沙王五願經,,吳 支謙譯,785,19,,,,"縮-宿7,卍-14.3",
經集部類,經集部一,14,14,512,512,0,,781,1,1,佛說淨飯王般涅槃經,,劉宋 沮渠京聲譯,796,19,,,,"縮-宿8,卍-15.1,國-經2",
經集部類,經集部一,14,14,513,513,0,,783,1,1,佛說琉璃王經,,西晉 竺法護譯,787,19,,,,"縮-宿7,卍-14.3,國-經2",
經集部類,經集部一,14,14,514,514,0,,785,1,1,佛說諫王經,,劉宋 沮渠京聲譯,260,11,,,,"縮-宙6,卍-10.6","Nos.515,516"
經集部類,經集部一,14,14,515,515,0,,786,1,1,如來示教勝軍王經,,唐 玄奘譯,258,11,,,,"縮-宙6,卍-10.6,國-經2","Nos.514,516"
經集部類,經集部一,14,14,516,516,0,,789,1,1,佛說勝軍王所問經,,宋 施護譯,1417,40,,,,"縮-宙6,卍-15.10","Nos.514,515"
經集部類,經集部一,14,14,517,517,0,,791,1,1,佛說末羅王經,,劉宋 沮渠京聲譯,848,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,518,518,0,,791,1,1,佛說旃陀越國王經,,劉宋 沮渠京聲譯,846,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,519,519,0,,792,1,1,佛說摩達國王經,,劉宋 沮渠京聲譯,845,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,520,520,0,,793,1,1,佛說薩羅國經,,失譯,503,14,,,,"縮-宙6,卍-11.7",
經集部類,經集部一,14,14,521,521,0,,794,1,1,佛說梵摩難國王經,,失譯,879,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,522,522,0,,794,1,1,普達王經,,失譯,877,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,523,523,0,,795,1,1,佛說五王經,,失譯,863,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,524,524,0,,797,1,1,佛為優填王說王法政論經,,唐 不空譯,1357,37,,,,"縮-閏15,卍-16.2",
經集部類,經集部一,14,14,525,525,0,,800,1,1,佛說長者子懊惱三處經,,後漢 安世高譯,815,20,,,,"縮-宿7,卍-14.10",
經集部類,經集部一,14,14,526,526,0,,800,1,1,佛說長者子制經,,後漢 安世高譯,226,11,,,,"縮-宙7,卍-10.5","Nos.527,528"
經集部類,經集部一,14,14,527,527,0,,801,1,1,佛說逝童子經,,西晉 支法度譯,228,11,,,,"縮-宙7,卍-10.5","Nos.526,528"
經集部類,經集部一,14,14,528,528,0,,803,1,1,佛說菩薩逝經,,西晉 白法祖譯,227,11,,,,"縮-宙7,卍-10.5","Nos.526,527"
經集部類,經集部一,14,14,529,529,0,,804,1,1,佛說阿鳩留經,,失譯,822,20,,,,"縮-宿7,卍-14.10",
經集部類,經集部一,14,14,530,530,0,,805,1,1,佛說須摩提長者經,,吳 支謙譯,816,20,,,,"縮-宿7,卍-14.10",
經集部類,經集部一,14,14,531,531,0,,808,1,1,佛說長者音悅經,,吳 支謙譯,776,19,,,,"縮-宿7,卍-14.10",
經集部類,經集部一,14,14,532,532,0,,809,1,1,私呵昧經,,吳 支謙譯,358,12,,,,"縮-宙7,卍-11.3",
經集部類,經集部一,14,14,533,533,0,,814,1,1,菩薩生地經,,吳 支謙譯,359,12,,,,"縮-宙7,卍-11.3",
經集部類,經集部一,14,14,534,534,0,,815,1,1,佛說月光童子經,,西晉 竺法護譯,219,11,,,,"縮-宙6,卍-10.5","Nos.535,536"
經集部類,經集部一,14,14,535,535,0,,817,1,1,佛說申日經,,西晉 竺法護譯,234,11,,,,"縮-宙6,卍-10.5","Nos.534,536"
經集部類,經集部一,14,14,536,536,0,,819,1,1,申日兒本經,,劉宋 求那跋陀羅譯,220,11,,,,"縮-宙6,卍-10.5","Nos.534,535"
經集部類,經集部一,14,14,537,537,0,,820,1,1,佛說越難經,,西晉 聶承遠譯,794,19,,,,"縮-宿8,卍-14.10",
經集部類,經集部一,14,14,538,538,0,,821,1,1,佛說呵雕阿那鋡經,,東晉 竺曇無蘭譯,834,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,539,539,0,,821,1,1,盧至長者因緣經,,失譯,859,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,0540a,540,0,a,825,1,1,佛說樹提伽經,,劉宋 求那跋陀羅譯,505,14,,,,"縮-宙7,卍-12.4",
經集部類,經集部一,14,14,0540b,540,1,b,826,1,1,佛說樹提伽經,,劉宋 求那跋陀羅譯,505,14,,,,,
經集部類,經集部一,14,14,541,541,0,,826,1,1,佛說佛大僧大經,,劉宋 沮渠京聲譯,843,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,542,542,0,,829,1,1,佛說耶祇經,,劉宋 沮渠京聲譯,844,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,543,543,0,,829,3,3,佛說巨力長者所問大乘經,,宋 智吉祥等譯,,,,,,"縮-宙6,卍-16.1",
經集部類,經集部一,14,14,544,544,0,,837,1,1,辯意長者子經,,後魏 法場譯,854,20,,,,"縮-宙8,卍-15.1",
經集部類,經集部一,14,14,545,545,0,,840,2,2,佛說德護長者經,,隋 那連提耶舍譯,221,11,,,,"縮-宙6,卍-10.5",
經集部類,經集部一,14,14,546,546,0,,850,1,1,佛說金耀童子經,,宋 天息災譯,1103,33,,,,"縮-宙7,卍-15.2",
經集部類,經集部一,14,14,547,547,0,,853,1,1,大花嚴長者問佛那羅延力經,,唐 般若共利言譯,1382,37,,,,"縮-宇3,續-1.1.4",
經集部類,經集部一,14,14,548,548,0,,853,1,1,佛說金光王童子經,,宋 法賢譯,1174,34,,,,"縮-昃10,續-1.1.4",
經集部類,經集部一,14,14,549,549,0,,854,4,4,佛說光明童子因緣經,,宋 施護譯,1437,40,,,,"縮-宿6,卍-15.7",
經集部類,經集部一,14,14,550,550,0,,865,12,12,金色童子因緣經,,宋 惟淨等譯,1483,41,,,,"縮-宿7,續-1.1.4",
經集部類,經集部一,14,14,551,551,0,,895,1,1,佛說摩鄧女經,,後漢 安世高譯,759,19,,,,"縮-宿6,卍-14.2","No.552;cf.Nos.1300,1301"
經集部類,經集部一,14,14,552,552,0,,895,1,1,佛說摩登女解形中六事經,,失譯,762,19,,,,"縮-宿6,卍-14.2","No.551;cf.Nos.1300,1301"
經集部類,經集部一,14,14,553,553,0,,896,1,1,佛說[木*奈]女祇域因緣經,,後漢 安世高譯,782,19,,,,"縮-宿6,卍-14.3",No.554
經集部類,經集部一,14,14,554,554,0,,902,1,1,佛說柰女耆婆經,,後漢 安世高譯,,,,,,"縮-宿6,卍-14.3",No.553
經集部類,經集部一,14,14,0555a,555,0,a,906,1,1,五母子經,,吳 支謙譯,768,19,,,,"縮-宿7,卍-14.2",
經集部類,經集部一,14,14,0555b,555,1,b,907,1,1,五母子經,,吳 支謙譯,768,19,,,,,
經集部類,經集部一,14,14,556,556,0,,907,1,1,佛說七女經,,吳 支謙譯,784,19,,,,"縮-宙8,卍-14.10",
經集部類,經集部一,14,14,557,557,0,,909,1,1,佛說龍施女經,,吳 支謙譯,270,11,,,,"縮-宙7,卍-10.7",No.558
經集部類,經集部一,14,14,558,558,0,,910,1,1,佛說龍施菩薩本起經,,西晉 竺法護譯,275,11,,,,"縮-宙7,卍-10.7",No.557
經集部類,經集部一,14,14,559,559,0,,911,1,1,佛說老女人經,,吳 支謙譯,216,11,,,,"縮-黃5,卍-10.5","Nos.560,561"
經集部類,經集部一,14,14,560,560,0,,912,1,1,佛說老母女六英經,,劉宋 求那跋陀羅譯,218,11,,,,"縮-黃5,卍-10.5","Nos.559,561"
經集部類,經集部一,14,14,561,561,0,,912,1,1,佛說老母經,,失譯,217,11,,,,"縮-黃5,卍-10.5","Nos.559,560"
經集部類,經集部一,14,14,562,562,0,,913,1,1,佛說無垢賢女經,,西晉 竺法護譯,231,11,,,,"縮-宇9,卍-10.5","Nos.563,564"
經集部類,經集部一,14,14,563,563,0,,914,1,1,佛說腹中女聽經,,北涼 曇無讖譯,232,11,,,,"縮-宇9,卍-10.5","Nos.562,564"
經集部類,經集部一,14,14,564,564,0,,915,1,1,佛說轉女身經,,劉宋 曇摩蜜多譯,233,11,,,,"縮-宇9,卍-10.5","Nos.562,564"
經集部類,經集部一,14,14,565,565,0,,921,2,2,順權方便經,,西晉 竺法護譯,204,11,,,,"縮-宇10,卍-10.5",No.566
經集部類,經集部一,14,14,566,566,0,,930,1,1,樂瓔珞莊嚴方便品經,,姚秦 曇摩耶舍譯,205,11,,,,"縮-宇10,卍-10.5",No.565
經集部類,經集部一,14,14,567,567,0,,939,1,1,佛說梵志女首意經,,西晉 竺法護譯,356,12,,,,"縮-宙1,卍-11.1",No.568
經集部類,經集部一,14,14,568,568,0,,940,1,1,有德女所問大乘經,,唐 菩提流志譯,489,13,,,,"縮-宇1,卍-11.1",No.567
經集部類,經集部一,14,14,569,569,0,,942,1,1,佛說心明經,,西晉 竺法護譯,461,13,,,,"縮-宙7,卍-12,6",
經集部類,經集部一,14,14,570,570,0,,943,1,1,佛說賢首經,,西秦 聖堅譯,469,13,,,,"縮-宙7,卍-12.6",
經集部類,經集部一,14,14,571,571,0,,944,1,1,佛說婦人遇辜經,,乞伏秦 聖堅譯,837,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,572,572,0,,944,1,1,佛說長者法志妻經,,失譯,511,14,,,,"縮-宙7,卍-11,7",
經集部類,經集部一,14,14,573,573,0,,945,1,1,差摩婆帝授記經,,元魏 菩提流支譯,492,13,,,,"縮-宙7,卍-12.5",
經集部類,經集部一,14,14,574,574,0,,946,1,1,佛說堅固女經,,隋 那連提耶舍譯,487,13,,,,"縮-宙7,卍-12.6",
經集部類,經集部一,14,14,575,575,0,,948,1,1,佛說大方等修多羅王經,,後魏 菩提流支譯,264,11,,,,"縮-宙1,卍-10.7","Nos.576,577"
經集部類,經集部一,14,14,576,576,0,,949,1,1,佛說轉有經,,元魏 佛陀扇多譯,266,11,,,,"縮-宙1,卍-10.7","Nos.575,577"
經集部類,經集部一,14,14,577,577,0,,949,1,1,佛說大乘流轉諸有經,,唐 義淨譯,494,13,,,,"縮-宙1,九-12.6","Nos.575,576"
經集部類,經集部一,14,14,578,578,0,,950,1,1,無垢優婆夷問經,,後魏 瞿曇般若流支譯,855,20,,,,"縮-宿6,卍-15.1",
經集部類,經集部一,14,14,579,579,0,,951,2,2,優婆夷淨行法門經,,失譯,500,14,,,,"縮-宙7,卍-12.6",
經集部類,經集部一,14,14,580,580,0,,962,1,1,佛說長者女菴提遮師子吼了義經,,失譯,514,14,,,,"縮-宙1,卍-11.7",
經集部類,經集部一,14,14,581,581,0,,965,1,1,佛說八師經,,吳 支謙譯,786,19,,,,"縮-宿7,卍-14.10",
經集部類,經集部一,14,14,582,582,0,,966,1,1,佛說孫多耶致經,,吳 支謙譯,884,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部一,14,14,583,583,0,,967,1,1,佛說黑氏梵志經,,吳 支謙譯,819,20,,,,"縮-宿7,卍-14.10",
經集部類,經集部一,14,14,584,584,0,,968,1,1,長爪梵志請問經,,唐 義淨譯,869,20,,,,"縮-宿7,卍-15.1",
經集部類,經集部二,15,15,585,585,0,,1,4,4,持心梵天所問經,,西晉 竺法護譯,142,10,,,,"縮-宇1,卍-10.4","Nos.586,587"
經集部類,經集部二,15,15,586,586,0,,33,4,4,思益梵天所問經,,姚秦 鳩摩羅什譯,143,10,,,,"縮-宇1,卍-10.3","Nos.585,587"
經集部類,經集部二,15,15,587,587,0,,62,6,6,勝思惟梵天所問經,,元魏 菩提流支譯,144,10,,,,"縮-宇1,卍-10.3","Nos.585,586"
經集部類,經集部二,15,15,588,588,0,,96,4,4,佛說須真天子經,,西晉 竺法護譯,372,12,,,,"縮-宙2,卍-11.4",
經集部類,經集部二,15,15,589,589,0,,112,1,1,佛說魔逆經,,西晉 竺法護譯,463,13,,,,"縮-宙2,卍-12.6",
經集部類,經集部二,15,15,590,590,0,,118,1,1,佛說四天王經,,宋 智嚴共寶雲譯,856,20,,,,"縮-宿8,卍-15.1",
經集部類,經集部二,15,15,591,591,0,,119,1,1,商主天子所問經,,隋 闍那崛多譯,481,13,,,,"縮-宙2,卍-12,6",
經集部類,經集部二,15,15,592,592,0,,124,1,1,天請問經,,唐 玄奘譯,881,20,,,,"縮-宿7,卍-15.1",cf.No.2786
經集部類,經集部二,15,15,593,593,0,,125,1,1,佛為勝光天子說王法經,,唐 義淨譯,261,11,,,,"縮-宙6,卍-10.6",
經集部類,經集部二,15,15,594,594,0,,127,1,1,佛說大自在天子因地經,,宋 施護譯,1147,33,,,,"縮-宙8,卍-15.3",
經集部類,經集部二,15,15,595,595,0,,129,1,1,佛說嗟[革*蔑]曩法天子受三歸依獲免惡道經,,宋 法天譯,1111,33,,,,"縮-宿7,卍-15.3",
經集部類,經集部二,15,15,596,596,0,,130,1,1,佛說天王太子辟羅經,,失譯,513,14,,,,"縮-宿8,卍-12.5",
經集部類,經集部二,15,15,597,597,0,,131,1,1,龍王兄弟經,,吳 支謙譯,780,19,,,,"縮-宿7,卍-14.10",
經集部類,經集部二,15,15,598,598,0,,131,4,4,佛說海龍王經,,西晉 竺法護譯,377,12,,,,"縮-宇9,卍-12.5",
經集部類,經集部二,15,15,599,599,0,,157,1,1,佛為海龍王說法印經,,唐 義淨譯,495,13,,,,"縮-宿8,卍-12.5",
經集部類,經集部二,15,15,600,600,0,,157,1,1,十善業道經,,唐 實叉難陀譯,548,14,,,,"縮-列1,卍-17.2,國-經13",
經集部類,經集部二,15,15,601,601,0,,159,1,1,佛為娑伽羅龍王所說大乘經,,宋 施護譯,1140,33,,,,"縮-列1,卍-15.4",
經集部類,經集部二,15,15,602,602,0,,163,2,2,佛說大安般守意經,,後漢 安世高譯,806,20,,,,"縮-宿5,卍-14.10",
經集部類,經集部二,15,15,603,603,0,,173,2,2,陰持入經,,後漢 安世高譯,807,20,,,,"縮-宿6,卍-15.2",cf.No.1694
經集部類,經集部二,15,15,604,604,0,,180,1,1,佛說禪行三十七品經,,後漢 安世高譯,887,20,,,,"縮-宿8,卍-15.1",
經集部類,經集部二,15,15,605,605,0,,181,1,1,禪行法想經,,後漢 安世高譯,814,20,,,,"縮-宿8,卍-14.10",
經集部類,經集部二,15,15,606,606,0,,181,7,7,修行道地經,,西晉 竺法護譯,984,29,,,,"縮-暑6,卍-26.5,國-經4","Nos.607,608"
經集部類,經集部二,15,15,607,607,0,,230,1,1,道地經,,僧伽羅剎造　後漢 安世高譯,986,29,,,,"縮-暑6,卍-26.5","Nos.606,608"
經集部類,經集部二,15,15,608,608,0,,236,1,1,小道地經,,後漢 支曜譯,1028,30,,,,"縮-暑6,卍-26.6","Nos.606,607"
經集部類,經集部二,15,15,609,609,0,,237,1,1,禪要經,,失譯,1012,30,,,,"縮-暑6,卍-26.9",
經集部類,經集部二,15,15,610,610,0,,239,1,1,佛說內身觀章句經,,失譯,1011,30,,,,"縮-藏8,卍-26.9",
經集部類,經集部二,15,15,611,611,0,,240,1,1,法觀經,,西晉 竺法護譯,1008,30,,,,"縮-藏8,卍-26.9",
經集部類,經集部二,15,15,612,612,0,,242,1,1,身觀經,,西晉 竺法護譯,874,20,,,,"縮-宿8,卍-15.1",
經集部類,經集部二,15,15,613,613,0,,242,3,3,禪祕要法經,,姚秦 鳩摩羅什等譯,798,19,,,,"縮-宿5,卍-15.1,國-經4",
經集部類,經集部二,15,15,614,614,0,,269,2,2,坐禪三昧經,,姚秦 鳩摩羅什譯,991,30,,,,"縮-暑6,卍-26.7,國-經4",
經集部類,經集部二,15,15,615,615,0,,286,1,1,菩薩訶色欲法經,,姚秦 鳩摩羅什譯,996,30,,,,"縮-暑6,卍-27.1",
經集部類,經集部二,15,15,616,616,0,,286,2,2,禪法要解,,姚秦 鳩摩羅什譯,1004,30,,,,"縮-暑6,卍-26.6",
經集部類,經集部二,15,15,617,617,0,,297,1,1,思惟略要法,,姚秦 鳩摩羅什譯,1010,30,,,,"縮-暑6,卍-26.9,國-經4",
經集部類,經集部二,15,15,618,618,0,,300,2,2,達摩多羅禪經,,東晉 佛陀跋陀羅譯,1003,30,,,,"縮-藏8,卍-26.6,國-經4",
經集部類,經集部二,15,15,619,619,0,,325,1,1,五門禪經要用法,,佛陀蜜多撰　劉宋 曇摩蜜多譯,1006,30,,,,"縮-暑6,卍-26.10",
經集部類,經集部二,15,15,620,620,0,,333,2,2,治禪病祕要法,,劉宋 沮渠京聲譯,744,19,,,,"縮-宿5,卍-14.2",
經集部類,經集部二,15,15,621,621,0,,343,1,1,佛說佛印三昧經,,後漢 安世高譯,471,13,,,,"縮-宙8,卍-12.4",
經集部類,經集部二,15,15,622,622,0,,343,1,1,佛說自誓三昧經,,後漢 安世高譯,273,11,,,,"縮-宙6,卍-10.7",No.623
經集部類,經集部二,15,15,623,623,0,,346,1,1,佛說如來獨證自誓三昧經,,西晉 竺法護譯,274,11,,,,"縮-宙6,卍-10.7",No.622
經集部類,經集部二,15,15,624,624,0,,348,3,3,佛說伅真陀羅所問如來三昧經,,後漢 支婁迦讖譯,129,9,,,,"縮-宇9,卍-9.8",No.625
經集部類,經集部二,15,15,625,625,0,,367,4,4,大樹緊那羅王所問經,,姚秦 鳩摩羅什譯,130,10,,,,"縮-宇9,卍-9.8,國-經6",No.624
經集部類,經集部二,15,15,626,626,0,,389,2,2,佛說阿闍世王經,,後漢 支婁迦讖譯,179,10,,,,"縮-宇8,卍-9.10",Nos.627-629
經集部類,經集部二,15,15,627,627,0,,406,3,3,文殊支利普超三昧經,,西晉 竺法護譯,175,10,,,,"縮-宇8,卍-10.2,國-經2","Nos.626,628,629"
經集部類,經集部二,15,15,628,628,0,,428,6,6,佛說未曾有正法經,,宋 法天譯,1408,40,,,,"縮-宇8,卍-15.6","Nos.626,627,629"
經集部類,經集部二,15,15,629,629,0,,449,1,1,佛說放[金*本]經,,闕譯,180,10,,,,"縮-宇8,卍-10.2",Nos.626-628
經集部類,經集部二,15,15,630,630,0,,451,1,1,佛說成具光明定意經,,後漢 支曜譯,363,12,,,,"縮-宙2,卍-11.3,國-經15",
經集部類,經集部二,15,15,631,631,0,,458,1,1,佛說法律三昧經,,吳 支謙譯,547,14,,,,"縮-列1,卍-17.2,國-經15",
經集部類,經集部二,15,15,632,632,0,,460,1,1,佛說慧印三昧經,,吳 支謙譯,172,10,"內文相關經有631,應為634",,,"縮-宙1,卍-10.7","Nos.633,634"
經集部類,經集部二,15,15,633,633,0,,468,1,1,佛說如來智印經,,失譯,173,10,,,,"縮-宙1,卍-10.7","Nos.632,634"
